"station_name","sampling_date","longhurst_region","province_name","ocean","biome","latitude","longitude","depth","temperature","salinity","nitrate","oxygen","chlorophyll","total_reads","nb_runs"
"MIME_001","MIME_001","2017-05-21","ARCT","Atlantic Arctic Province","Atlantic","Polar",68.0094,-18.8325,0,2.7,34.914,NA,NA,"NA 0.22",33490414,1
"MIME_002","MIME_002","2017-05-30","SARC","Atlantic Subarctic Province","Atlantic","Polar",62.9878,-21.48,0,8.477,34.761,NA,NA,"NA 0.22",33065000,1
"TARA_031","TARA_031","2010-01-09T11:20","MEDI","Mediterranean Sea, Black Sea Province","Atlantic","Westerlies",27.16,27.1433,5,25.0621,39.981867,-0.137284,188.763583,"0.048898",200875762,2
"TARA_032","TARA_032","2010-01-11T11:00","REDS","Red Sea, Persian Gulf Province","Indian","Coastal",23.36,37.2183,5,25.824383,39.74725,-0.541919,188.416583,"0",198835035,3
"TARA_033","TARA_033","2010-01-13T11:09","REDS","Red Sea, Persian Gulf Province","Indian","Coastal",21.9467,38.2517,5,27.329517,38.937417,-0.000271,182.812167,"0.163228",127535172,2
"TARA_034","TARA_034","2010-01-20T08:30","REDS","Red Sea, Persian Gulf Province","Indian","Coastal",18.3967,39.875,5,27.59865,38.646858,-0.927087,184.061167,"0.186697",120654212,2
"TARA_038","TARA_038","2010-03-15T05:53","ARAB","NW Arabian Upwelling Province","Indian","Coastal",19.0393,64.4913,5,26.2314,36.617917,0.889376,199.9355,"0.161808",130920132,2
"TARA_041","TARA_041","2010-03-30T05:40","ARAB","NW Arabian Upwelling Province","Indian","Coastal",14.6059,69.9776,5,29.089367,36.024883,-1.343153,187.42925,"0.020173",220252033,2
"TARA_042","TARA_042","2010-04-04T06:33","MONS","Indian Monsoon Gyres Province","Indian","Trades",6.0001,73.8955,5,29.980283,34.56155,-1.47882,189.25475,"0.006724",200861532,2
"TARA_045","TARA_045","2010-04-13T06:05","MONS","Indian Monsoon Gyres Province","Indian","Trades",0.0033,71.6428,5,30.496383,35.091133,2.575786,185.243833,"0.026898",195519241,2
"TARA_048","TARA_048","2010-04-19T10:59","MONS","Indian Monsoon Gyres Province","Indian","Trades",-9.3921,66.4228,5,29.818233,34.1689,-2.201764,187.2575,"0",249646209,2
"TARA_062","TARA_062","2010-07-03T09:57","EAFR","E. Africa Coastal Province","Indian","Coastal",-22.3368,40.3412,5,25.080167,35.324825,-0.166794,199.895917,"0.089746",145714747,1
"TARA_066","TARA_066","2010-07-15T14:47","EAFR","E. Africa Coastal Province","Indian","Coastal",-34.9449,17.9189,5,15.033492,35.323317,2.450991,238.916333,"0.250054",160365680,3
"TARA_067","TARA_067","2010-09-07T07:44","BENG","Benguela Current Coastal Province","Atlantic","Coastal",-32.2401,17.7103,5,12.83445,34.845292,0.405607,249.351417,"1.551493",78657375,2
"TARA_082","TARA_082","2010-12-06T11:45","FKLD","SW Atlantic Shelves Province","Atlantic","Coastal",-47.1863,-58.2902,5,7.321517,34.048642,17.091069,305.012167,"0.310844",134447282,2
"TARA_084","TARA_084","2011-01-03T16:00","APLR","Austral Polar Province","Antarctic","Polar",-60.2287,-60.6476,5,1.84402,33.71972,24.423039,338.2982,"0.109555",221165348,2
"TARA_085","TARA_085","2011-01-06T12:30","APLR","Austral Polar Province","Antarctic","Polar",-62.0385,-49.529,5,0.67108,34.35388,27.501159,343.4373,"0.065273",200850545,2
"TARA_093","TARA_093","2011-03-12T14:45","CHIL","Chile-Peru Current Coastal Province","Pacific","Coastal",-34.0614,-73.1066,5,18.014508,34.295417,-1.485075,244.861667,"0.387495",137491742,1
"TARA_094","TARA_094","2011-03-18T14:00","SPSG","S. Pacific Subtropical Gyre Province","Pacific","Westerlies",-32.7971,-87.0693,5,21.131962,34.682604,-0.39754,219.174917,"0.147822",230009431,1
"TARA_096","TARA_096","2011-03-24T15:25","SPSG","S. Pacific Subtropical Gyre Province","Pacific","Westerlies",-29.7238,-101.1604,5,23.799133,35.766117,-0.372718,204.13825,"0.044093",188910040,1
"TARA_098","TARA_098","2011-04-03T16:35","SPSG","S. Pacific Subtropical Gyre Province","Pacific","Westerlies",-25.8051,-111.7202,5,25.14875,36.402683,-1.567491,200.538167,"0.013449",126571370,2
"TARA_099","TARA_099","2011-04-09T16:17","SPSG","S. Pacific Subtropical Gyre Province","Pacific","Westerlies",-21.146,-104.787,5,23.788833,36.129117,-1.737405,203.995417,"0.037733",169274791,1
