run	sample
ERR315862	TARA_030
ERR315863	TARA_030
ERR598969	TARA_031
ERR599106	TARA_031
ERR599041	TARA_032
ERR599116	TARA_032
ERR599155	TARA_032
ERR599049	TARA_033
ERR599134	TARA_033
ERR598959	TARA_034
ERR598991	TARA_034
ERR599102	TARA_038
ERR599158	TARA_038
ERR599011	TARA_041
ERR599074	TARA_041
ERR599075	TARA_042
ERR599141	TARA_042
ERR599045	TARA_045
ERR599054	TARA_045
ERR599019	TARA_048
ERR599138	TARA_048
ERR599012	TARA_062
ERR598973	TARA_066
ERR599068	TARA_066
ERR599173	TARA_066
ERR598994	TARA_067
ERR599144	TARA_067
ERR599135	TARA_070
ERR599165	TARA_070
ERR598984	TARA_072
ERR599105	TARA_072
ERR599010	TARA_076
ERR599126	TARA_076
ERR599006	TARA_078
ERR599022	TARA_078
ERR599009	TARA_082
ERR599035	TARA_082
ERR598945	TARA_084
ERR599059	TARA_084
ERR599090	TARA_085
ERR599176	TARA_085
ERR599064	TARA_093
ERR599050	TARA_094
ERR598967	TARA_096
ERR599093	TARA_098
ERR599120	TARA_098
ERR599024	TARA_099
ERR599063	TARA_100
ERR599163	TARA_100
ERR599169	TARA_100
ERR598943	TARA_102
ERR598978	TARA_102
ERR598997	TARA_109
ERR599118	TARA_109
ERR599039	TARA_110
ERR599077	TARA_111
ERR598954	TARA_112
ERR598992	TARA_122
ERR599160	TARA_123
ERR599036	TARA_124
ERR599069	TARA_124
ERR599080	TARA_124
ERR599151	TARA_124
ERR599066	TARA_125
ERR599091	TARA_125
ERR599114	TARA_125
ERR599119	TARA_125
ERR599038	TARA_128
ERR599142	TARA_132
ERR599052	TARA_133
ERR598989	TARA_137
ERR599030	TARA_138
ERR599162	TARA_140
ERR599029	TARA_141
ERR599136	TARA_142
ERR598983	TARA_145
ERR598968	TARA_146
ERR598963	TARA_149
ERR599170	TARA_150
ERR598976	TARA_151
ERR599078	TARA_152
ERR3589591	TARA_155
ERR3589592	TARA_158
ERR3589586	TARA_163
ERR3589588	TARA_168
ERR3589566	TARA_173
ERR3589577	TARA_175
ERR3589556	TARA_194
ERR3589557	TARA_196
ERR3589558	TARA_201
ERR3589559	TARA_205
ERR3589561	TARA_206
ERR3589575	TARA_208
ERR3589576	TARA_209
ERR3589582	TARA_210
