sample	r1	r2
TARA_030	ERR315862_1.fastq.gz,ERR315863_1.fastq.gz	ERR315862_2.fastq.gz,ERR315863_2.fastq.gz
TARA_031	ERR598969_1.fastq.gz,ERR599106_1.fastq.gz	ERR598969_2.fastq.gz,ERR599106_2.fastq.gz
TARA_032	ERR599041_1.fastq.gz,ERR599116_1.fastq.gz,ERR599155_1.fastq.gz	ERR599041_2.fastq.gz,ERR599116_2.fastq.gz,ERR599155_2.fastq.gz
TARA_033	ERR599049_1.fastq.gz,ERR599134_1.fastq.gz	ERR599049_2.fastq.gz,ERR599134_2.fastq.gz
TARA_034	ERR598959_1.fastq.gz,ERR598991_1.fastq.gz	ERR598959_2.fastq.gz,ERR598991_2.fastq.gz
TARA_038	ERR599102_1.fastq.gz,ERR599158_1.fastq.gz	ERR599102_2.fastq.gz,ERR599158_2.fastq.gz
TARA_041	ERR599011_1.fastq.gz,ERR599074_1.fastq.gz	ERR599011_2.fastq.gz,ERR599074_2.fastq.gz
TARA_042	ERR599075_1.fastq.gz,ERR599141_1.fastq.gz	ERR599075_2.fastq.gz,ERR599141_2.fastq.gz
TARA_045	ERR599045_1.fastq.gz,ERR599054_1.fastq.gz	ERR599045_2.fastq.gz,ERR599054_2.fastq.gz
TARA_048	ERR599019_1.fastq.gz,ERR599138_1.fastq.gz	ERR599019_2.fastq.gz,ERR599138_2.fastq.gz
TARA_062	ERR599012_1.fastq.gz	ERR599012_2.fastq.gz
TARA_066	ERR598973_1.fastq.gz,ERR599068_1.fastq.gz,ERR599173_1.fastq.gz	ERR598973_2.fastq.gz,ERR599068_2.fastq.gz,ERR599173_2.fastq.gz
TARA_067	ERR598994_1.fastq.gz,ERR599144_1.fastq.gz	ERR598994_2.fastq.gz,ERR599144_2.fastq.gz
TARA_070	ERR599135_1.fastq.gz,ERR599165_1.fastq.gz	ERR599135_2.fastq.gz,ERR599165_2.fastq.gz
TARA_072	ERR598984_1.fastq.gz,ERR599105_1.fastq.gz	ERR598984_2.fastq.gz,ERR599105_2.fastq.gz
TARA_076	ERR599010_1.fastq.gz,ERR599126_1.fastq.gz	ERR599010_2.fastq.gz,ERR599126_2.fastq.gz
TARA_078	ERR599006_1.fastq.gz,ERR599022_1.fastq.gz	ERR599006_2.fastq.gz,ERR599022_2.fastq.gz
TARA_082	ERR599009_1.fastq.gz,ERR599035_1.fastq.gz	ERR599009_2.fastq.gz,ERR599035_2.fastq.gz
TARA_084	ERR598945_1.fastq.gz,ERR599059_1.fastq.gz	ERR598945_2.fastq.gz,ERR599059_2.fastq.gz
TARA_085	ERR599090_1.fastq.gz,ERR599176_1.fastq.gz	ERR599090_2.fastq.gz,ERR599176_2.fastq.gz
TARA_093	ERR599064_1.fastq.gz	ERR599064_2.fastq.gz
TARA_094	ERR599050_1.fastq.gz	ERR599050_2.fastq.gz
TARA_096	ERR598967_1.fastq.gz	ERR598967_2.fastq.gz
TARA_098	ERR599093_1.fastq.gz,ERR599120_1.fastq.gz	ERR599093_2.fastq.gz,ERR599120_2.fastq.gz
TARA_099	ERR599024_1.fastq.gz	ERR599024_2.fastq.gz
TARA_100	ERR599063_1.fastq.gz,ERR599163_1.fastq.gz,ERR599169_1.fastq.gz	ERR599063_2.fastq.gz,ERR599163_2.fastq.gz,ERR599169_2.fastq.gz
TARA_102	ERR598943_1.fastq.gz,ERR598978_1.fastq.gz	ERR598943_2.fastq.gz,ERR598978_2.fastq.gz
TARA_109	ERR598997_1.fastq.gz,ERR599118_1.fastq.gz	ERR598997_2.fastq.gz,ERR599118_2.fastq.gz
TARA_110	ERR599039_1.fastq.gz	ERR599039_2.fastq.gz
TARA_111	ERR599077_1.fastq.gz	ERR599077_2.fastq.gz
TARA_112	ERR598954_1.fastq.gz	ERR598954_2.fastq.gz
TARA_122	ERR598992_1.fastq.gz	ERR598992_2.fastq.gz
TARA_123	ERR599160_1.fastq.gz	ERR599160_2.fastq.gz
TARA_124	ERR599036_1.fastq.gz,ERR599069_1.fastq.gz,ERR599080_1.fastq.gz,ERR599151_1.fastq.gz	ERR599036_2.fastq.gz,ERR599069_2.fastq.gz,ERR599080_2.fastq.gz,ERR599151_2.fastq.gz
TARA_125	ERR599066_1.fastq.gz,ERR599091_1.fastq.gz,ERR599114_1.fastq.gz,ERR599119_1.fastq.gz	ERR599066_2.fastq.gz,ERR599091_2.fastq.gz,ERR599114_2.fastq.gz,ERR599119_2.fastq.gz
TARA_128	ERR599038_1.fastq.gz	ERR599038_2.fastq.gz
TARA_132	ERR599142_1.fastq.gz	ERR599142_2.fastq.gz
TARA_133	ERR599052_1.fastq.gz	ERR599052_2.fastq.gz
TARA_137	ERR598989_1.fastq.gz	ERR598989_2.fastq.gz
TARA_138	ERR599030_1.fastq.gz	ERR599030_2.fastq.gz
TARA_140	ERR599162_1.fastq.gz	ERR599162_2.fastq.gz
TARA_141	ERR599029_1.fastq.gz	ERR599029_2.fastq.gz
TARA_142	ERR599136_1.fastq.gz	ERR599136_2.fastq.gz
TARA_145	ERR598983_1.fastq.gz	ERR598983_2.fastq.gz
TARA_146	ERR598968_1.fastq.gz	ERR598968_2.fastq.gz
TARA_149	ERR598963_1.fastq.gz	ERR598963_2.fastq.gz
TARA_150	ERR599170_1.fastq.gz	ERR599170_2.fastq.gz
TARA_151	ERR598976_1.fastq.gz	ERR598976_2.fastq.gz
TARA_152	ERR599078_1.fastq.gz	ERR599078_2.fastq.gz
TARA_155	ERR3589591_1.fastq.gz	ERR3589591_2.fastq.gz
TARA_158	ERR3589592_1.fastq.gz	ERR3589592_2.fastq.gz
TARA_163	ERR3589586_1.fastq.gz	ERR3589586_2.fastq.gz
TARA_168	ERR3589588_1.fastq.gz	ERR3589588_2.fastq.gz
TARA_173	ERR3589566_1.fastq.gz	ERR3589566_2.fastq.gz
TARA_175	ERR3589577_1.fastq.gz	ERR3589577_2.fastq.gz
TARA_194	ERR3589556_1.fastq.gz	ERR3589556_2.fastq.gz
TARA_196	ERR3589557_1.fastq.gz	ERR3589557_2.fastq.gz
TARA_201	ERR3589558_1.fastq.gz	ERR3589558_2.fastq.gz
TARA_205	ERR3589559_1.fastq.gz	ERR3589559_2.fastq.gz
TARA_206	ERR3589561_1.fastq.gz	ERR3589561_2.fastq.gz
TARA_208	ERR3589575_1.fastq.gz	ERR3589575_2.fastq.gz
TARA_209	ERR3589576_1.fastq.gz	ERR3589576_2.fastq.gz
TARA_210	ERR3589582_1.fastq.gz	ERR3589582_2.fastq.gz
