Genome	TARA_085-QUALITY_PASSED_R1.fastq.gz Relative Abundance (%)
unmapped	98.96378
GCA_902547755.1_AG-901-J11_genomic	0.010195603
GCA_902522335.1_AG-895-A22_genomic	0.0036343182
GCA_018666055.1_ASM1866605v1_genomic	0.007104679
GCA_016778085.1_ASM1677808v1_genomic	0.0016787751
GCA_003331685.1_ASM333168v1_genomic	0.0005467927
GCA_028280635.1_ASM2828063v1_genomic	0.0006420047
GCA_902518075.1_AG-894-B10_genomic	0.008683076
GCA_000227505.4_ASM22750v4_genomic	0.014494127
GCA_902623175.1_AH-287-B15_genomic	0.010321345
GCA_000158175.1_ASM15817v1_genomic	0.007753702
GCA_024224435.1_ASM2422443v1_genomic	0.0125056915
GCA_030426545.1_ASM3042654v1_genomic	0.00024630455
GCA_029287595.1_ASM2928759v1_genomic	0.0022981465
GCA_905480565.1_3_20180529_Bin_20180529_Bin_221_1_genomic	0.0056973835
GCA_029246385.1_ASM2924638v1_genomic	0.006150776
GCA_029253085.1_ASM2925308v1_genomic	0.00197276
GCA_029253705.1_ASM2925370v1_genomic	0.0007072548
GCA_029859085.1_ASM2985908v1_genomic	0.0020270972
GCA_029242325.1_ASM2924232v1_genomic	0.0023885085
GCA_002389505.1_ASM238950v1_genomic	0.0061368076
GCA_947258585.1_ERZ12284426_genomic	0.0033829245
GCA_030427485.1_ASM3042748v1_genomic	0.0015368087
GCA_030428835.1_ASM3042883v1_genomic	0.00041463278
GCA_002414665.1_ASM241466v1_genomic	0.00050377846
GCA_018666295.1_ASM1866629v1_genomic	0.0035985832
GCA_002705465.1_ASM270546v1_genomic	0.006226745
GCA_029961695.1_dmAriCali1.0.hap2_genomic	0.0018091075
GCA_028823475.1_ASM2882347v1_genomic	0.06023009
GCA_030431585.1_ASM3043158v1_genomic	0.0012171343
GCA_029247075.1_ASM2924707v1_genomic	0.008815941
GCA_030433415.1_ASM3043341v1_genomic	0.010143215
GCA_000423125.1_ASM42312v1_genomic	0.010030315
GCA_030591305.1_ASM3059130v1_genomic	0.0028596502
GCA_002683395.1_ASM268339v1_genomic	0.0029163326
GCA_030649675.1_ASM3064967v1_genomic	0.005193159
GCA_002862985.1_ASM286298v1_genomic	0.0024437008
GCA_030730585.1_ASM3073058v1_genomic	0.0010154081
GCA_016779445.1_ASM1677944v1_genomic	0.0007391094
GCA_035582765.1_UCONN_Acne_2_genomic	0.00273503
GCA_016778045.1_ASM1677804v1_genomic	0.00092674687
GCA_018657645.1_ASM1865764v1_genomic	0.0007330765
GCA_008370495.1_ASM837049v1_genomic	0.0029643446
GCA_902519405.1_AG-333-E20_genomic	0.020290388
GCA_002428935.1_ASM242893v1_genomic	0.0013488134
GCA_902520195.1_AG-894-J17_genomic	0.0058530136
GCA_002699145.1_ASM269914v1_genomic	0.001302344
GCA_902631395.1_AH-326-F22_genomic	0.009799731
GCA_002456975.1_ASM245697v1_genomic	0.0030672334
GCA_905478845.1_0.2_20180511_Bin_174_1_genomic	0.0012880642
GCA_002692965.1_ASM269296v1_genomic	0.0019326549
GCA_905479205.1_0.2_20180524_Bin_119_sub_1_genomic	0.0041433843
GCA_002691565.1_ASM269156v1_genomic	0.00085385353
GCA_913031575.1_ERR598978_bin.4_MetaBAT_v2.12.1_MAG_genomic	0.0006911792
GCA_002721785.1_ASM272178v1_genomic	0.0034091715
GCA_938091425.1_S4_Bin_Bin_207_sub_1_genomic	0.0041575744
GCA_002748505.1_ASM274850v1_genomic	0.0028344155
GCA_938091995.1_S4_Bin_METABAT_131_1_genomic	0.0025642489
GCA_002862465.1_ASM286246v1_genomic	0.0058076023
GCA_913048495.1_ERR599053_bin.87_MetaBAT_v2.12.1_MAG_genomic	0.0038998676
GCA_030427085.1_ASM3042708v1_genomic	0.008547361
GCA_913056165.1_SRR4030075_bin.37_MetaBAT_v2.12.1_MAG_genomic	0.0014471195
GCA_002866825.1_ASM286682v1_genomic	0.0059099398
GCA_913057135.1_SRR4030062_bin.3_MetaBAT_v2.12.1_MAG_genomic	0.036700584
GCA_002868715.1_ASM286871v1_genomic	0.005155985
GCA_913064725.1_ERR2098371_bin.22_MetaBAT_v2.12.1_MAG_genomic	0.003207127
GCA_003402235.1_ASM340223v1_genomic	0.0041175187
GCA_913062625.1_SRR5620817_bin.66_MetaBAT_v2.12.1_MAG_genomic	0.19619066
GCA_003646405.1_ASM364640v1_genomic	0.0029495044
GCA_913063005.1_ERR771004_bin.4_MetaBAT_v2.12.1_MAG_genomic	0.04294592
GCA_003646415.1_ASM364641v1_genomic	0.0032411758
GCA_938045215.1_N2_Bin_Bin_145_1_genomic	0.0012076738
GCA_009388985.1_ASM938898v1_genomic	0.0071547837
GCA_938074045.1_S2_Bin_METABAT_101_1_genomic	0.0044357665
GCA_009937575.1_ASM993757v1_genomic	0.00044604085
GCA_938074135.1_S3_Bin_MAXBIN_098_sub_1_genomic	0.00070055976
GCA_010669285.1_ASM1066928v1_genomic	0.0071214866
GCA_938084055.1_S3_Bin_MAXBIN_084_1_genomic	0.00069635786
GCA_012270045.1_ASM1227004v1_genomic	0.00009028929
GCA_938085095.1_S3_Bin_Bin_3_sub_1_genomic	0.0010357313
GCA_013214285.1_ASM1321428v1_genomic	0.0025998047
GCA_938091485.1_S4_Bin_METABAT_204_1_genomic	0.00025100826
GCA_013911345.1_ASM1391134v1_genomic	0.00016430153
GCA_943787385.1_05052020-pm_METABAT_10_genomic	0.008188208
GCA_016704305.1_ASM1670430v1_genomic	0.010962521
GCA_943787485.1_05052020-am_METABAT_80_genomic	0.0100437105
GCA_016744355.1_ASM1674435v1_genomic	0.005172311
GCA_030427335.1_ASM3042733v1_genomic	0.008677457
GCA_017255185.1_ASM1725518v1_genomic	0.0036590782
GCA_000158155.1_ASM15815v1_genomic	0.013385968
GCA_020443325.1_ASM2044332v1_genomic	0.00038584712
GCA_000169115.1_ASM16911v1_genomic	0.010626094
GCA_020443345.1_ASM2044334v1_genomic	0.00022363421
GCA_001983995.1_ASM198399v1_genomic	0.009726177
GCA_030066555.1_ASM3006655v1_genomic	0.0007016394
GCA_000764025.1_ASM76402v1_genomic	0.012508338
GCA_020443425.1_ASM2044342v1_genomic	0.0017351772
GCA_003457605.1_ASM345760v1_genomic	0.004362894
GCA_022425845.1_ASM2242584v1_genomic	0.0030011998
GCA_003520285.1_ASM352028v1_genomic	0.010290141
GCA_023253715.1_ASM2325371v1_genomic	0.016051365
GCA_004340525.1_ASM434052v1_genomic	0.0053167073
GCA_024234675.1_ASM2423467v1_genomic	0.0037637304
GCA_004354085.1_ASM435408v1_genomic	0.0033352855
GCA_024234735.1_ASM2423473v1_genomic	0.006336843
GCA_004745945.1_ASM474594v1_genomic	0.004245176
GCA_024234815.1_ASM2423481v1_genomic	0.00801625
GCA_008064665.1_ASM806466v1_genomic	0.0020865332
GCA_024234855.1_ASM2423485v1_genomic	0.0061967466
GCA_008081075.1_ASM808107v1_genomic	0.00013854646
GCA_024640505.1_ASM2464050v1_genomic	0.00020163883
GCA_009910365.1_ASM991036v1_genomic	0.017788336
GCA_024642245.1_ASM2464224v1_genomic	0.0005169171
GCA_009937065.1_ASM993706v1_genomic	0.0020067287
GCA_024642265.1_ASM2464226v1_genomic	0.00082851935
GCA_014077625.1_ASM1407762v1_genomic	0.02593867
GCA_024644535.1_ASM2464453v1_genomic	0.007955877
GCA_014652275.1_ASM1465227v1_genomic	0.0063286712
GCA_024686215.1_ASM2468621v1_genomic	0.0018698217
GCA_018342035.1_IUB_Sapp_1.0_genomic	0.0031671973
GCA_024742415.1_ASM2474241v1_genomic	0.0052982443
GCA_026710905.1_ASM2671090v1_genomic	0.0021424252
GCA_026230195.1_ASM2623019v1_genomic	0.009179164
GCA_028282105.1_ASM2828210v1_genomic	0.0013495283
GCA_026262625.1_ASM2626262v1_genomic	0.01332691
GCA_902705825.1_Halioglobus_sp._strain_BC5_1_genomic	0.010338292
GCA_026262685.1_ASM2626268v1_genomic	0.009996753
GCA_000153125.2_ASM15312v2_genomic	0.009386625
GCA_027295405.1_ASM2729540v1_genomic	0.0020679568
GCA_002377985.1_ASM237798v1_genomic	0.0022101817
GCA_028117185.1_ASM2811718v1_genomic	0.083944425
GCA_008064635.1_ASM806463v1_genomic	0.0028583168
GCA_028277365.1_ASM2827736v1_genomic	0.0010246512
GCA_015222725.1_ASM1522272v1_genomic	0.0021723225
