Genome	TARA_085-QUALITY_PASSED_R1.fastq.gz Relative Abundance (%)
unmapped	99.76962
GCA_000423125.1_ASM42312v1_genomic	0.0045321174
GCA_003719295.1_ASM371929v1_genomic	0.005424718
GCA_002862405.1_ASM286240v1_genomic	0.0032985078
GCA_001635445.1_ASM163544v1_genomic	0.016330555
GCA_002692965.1_ASM269296v1_genomic	0.0014083816
GCA_002696455.1_ASM269645v1_genomic	0.00066977536
GCA_902520195.1_AG-894-J17_genomic	0.003950609
GCA_002390485.1_ASM239048v1_genomic	0.001873044
GCA_002346275.1_ASM234627v1_genomic	0.0022781112
GCA_002172195.2_ASM217219v2_genomic	0.0005066011
GCA_002167765.1_ASM216776v1_genomic	0.00097449584
GCA_002339205.1_ASM233920v1_genomic	0.00030243656
GCA_000156295.1_ASM15629v1_genomic	0.0050811535
GCA_001953075.1_ASM195307v1_genomic	0.0052986667
GCA_002171435.2_ASM217143v2_genomic	0.0024889188
GCA_002171595.1_ASM217159v1_genomic	0.00037109447
GCA_011522735.1_ASM1152273v1_genomic	0.0002114162
GCA_902623385.1_AH-287-C10_genomic	0.004366905
GCA_002703585.1_ASM270358v1_genomic	0.0005669174
GCA_002683335.1_ASM268333v1_genomic	0.00034387238
GCA_002390055.1_ASM239005v1_genomic	0.0027500354
GCA_002723335.1_ASM272333v1_genomic	0.0014120744
GCA_002414665.1_ASM241466v1_genomic	0.00031930773
GCA_000204315.2_ASM20431v1_genomic	0.0075503364
GCA_013214775.1_ASM1321477v1_genomic	0.0007826594
GCA_002434985.1_ASM243498v1_genomic	0.0011254174
GCA_002683395.1_ASM268339v1_genomic	0.0020786223
GCA_003428685.1_ASM342868v1_genomic	0.0032528325
GCA_002862985.1_ASM286298v1_genomic	0.0016283407
GCA_013214285.1_ASM1321428v1_genomic	0.0016462173
GCA_002469785.1_ASM246978v1_genomic	0.00029655866
GCA_002705465.1_ASM270546v1_genomic	0.001564958
GCA_002428935.1_ASM242893v1_genomic	0.0007884968
GCA_002748505.1_ASM274850v1_genomic	0.001197164
GCA_000764025.1_ASM76402v1_genomic	0.0067754076
GCA_002377985.1_ASM237798v1_genomic	0.0012742112
GCA_002868715.1_ASM286871v1_genomic	0.0035225118
GCA_003331685.1_ASM333168v1_genomic	0.000411689
GCA_003402235.1_ASM340223v1_genomic	0.0027438458
GCA_003646415.1_ASM364641v1_genomic	0.0047160387
GCA_003523185.1_ASM352318v1_genomic	0.0032369832
GCA_009886815.1_ASM988681v1_genomic	0.0007850555
GCA_009937065.1_ASM993706v1_genomic	0.0010635607
GCA_010669285.1_ASM1066928v1_genomic	0.0043726093
GCA_011523115.1_ASM1152311v1_genomic	0.00052998465
GCA_902623175.1_AH-287-B15_genomic	0.0044080415
GCA_000169115.1_ASM16911v1_genomic	0.008003309
GCA_902705825.1_Halioglobus_sp._strain_BC5_1_genomic	0.006952417
GCA_902547755.1_AG-901-J11_genomic	0.0051929858
GCA_002862465.1_ASM286246v1_genomic	0.004856663
GCA_000158155.1_ASM15815v1_genomic	0.008677339
GCA_013911345.1_ASM1391134v1_genomic	0.00014143733
GCA_014077625.1_ASM1407762v1_genomic	0.015808117
GCA_902518075.1_AG-894-B10_genomic	0.0043908413
GCA_902519405.1_AG-333-E20_genomic	0.013197337
GCA_000153125.2_ASM15312v2_genomic	0.0057571144
GCA_000227505.4_ASM22750v4_genomic	0.008499544
GCA_003457605.1_ASM345760v1_genomic	0.0030953796
GCA_003646405.1_ASM364640v1_genomic	0.001723977
GCA_004354085.1_ASM435408v1_genomic	0.002255347
GCA_004745945.1_ASM474594v1_genomic	0.0025210548
GCA_008064635.1_ASM806463v1_genomic	0.001780236
GCA_008064665.1_ASM806466v1_genomic	0.0013249306
GCA_008081075.1_ASM808107v1_genomic	0.00013068081
GCA_008370495.1_ASM837049v1_genomic	0.0020164303
GCA_009388985.1_ASM938898v1_genomic	0.0040764837
GCA_009937575.1_ASM993757v1_genomic	0.00023388953
GCA_000158175.1_ASM15817v1_genomic	0.00463717
GCA_902613175.1_AG-891-G07_genomic	0.004592317
